Index,Symbol,Name
1313,EUR-USD.F,EUR-USD.F
1314,EUR-PAB.F,EUR-PAB.F
1315,EURHKD=X,EUR/HKD
1316,EGPMUR=X,EGP/MUR
1317,EURSGD=X,EUR/SGD
1318,EURCNY=X,EUR/CNY
1319,EUR-XPF.F,EUR-XPF.F
1320,EUR-XOF.F,EUR-XOF.F
1321,EUR-BIF.F,EUR-BIF.F
1322,EGPTHB=X,EGP/THB
1323,ETBEUR=X,ETB/EUR
1324,EUR-BYR.F,EUR-BYR.F
1325,EUR-NOK.F,EUR-NOK.F
1326,EGPCZK=X,EGP/CZK
1327,EUR-AZN.F,EUR-AZN.F
1328,EURIDR=X,EUR/IDR
1329,EUR-PKR.F,EUR-PKR.F
1330,EUR-VEF.F,EUR-VEF.F
1331,EURMXN=X,EUR/MXN
1332,EURRON=X,EUR/RON
1333,EUR-MXN.F,EUR-MXN.F
1334,EURHNL=X,EUR/HNL
1335,EUR-TND.F,EUR-TND.F
1336,EUR-EUR.F,EUR-EUR.F
1337,EUR-IQD.F,EUR-IQD.F
1338,EUR-ANG.F,EUR-ANG.F
1339,EUR-FJD.F,EUR-FJD.F
1340,EGPCAD=X,EGP/CAD
1341,EURGHS=X,EUR/GHS
1342,EURMGA=X,EUR/MGA
1343,EUR-MKD.F,EUR-MKD.F
1344,EURERN=X,EUR/ERN
1345,EUR-CLP.F,EUR-CLP.F
1346,EOSF.F,EOSF.F
1347,EURCVE=X,EUR/CVE
1348,EURSTD=X,EUR/STD
